"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"classe 1";1,71118549809946;-0,414504311849932;-1,78956047550228;0,6816175914507;-0,165109762210396;-0,71283674529851;0,522568876095054;0,0251476577506929;0,452283466154246;0,400980113787437;0,0235280946135589;0,438552318443964;0,136939473155037;1,46313342068039;0,293154465306817
"classe 2";0,53901158687041;0,0936984186069146;1,05249888898306;0,454402533199812;0,078990507456447;0,887287347792905;0,247398373951582;0,00613133773342832;0,746470288314995;0,120700219576238;0,00364734109787573;0,460209044996511;0,415443394329379;0,669820276343884;0,186392502025837
"classe 3";-1,1674057993421;-1,43914703634055;-0,224141753113769;-0,625416105185874;-0,770996456215261;-0,120079806285825;0,439450293345985;0,547729937935847;0,012819768718164;0,30391824996468;0,461873900896528;0,0112036263356536;0,223004222803137;1,08849283957953;0,264219118832464
"classe 4";-0,881165829193927;1,50824580736759;-0,633123381037387;-0,474259152851371;0,811764772526558;-0,340758286798142;0,262374670827754;0,630435911390436;0,10718941778181;0,174401416671644;0,510950663392038;0,0900350102238707;0,224612909712447;1,06329874991908;0,253948306188271
