"";"classe 1";"classe 2";"classe 3";"classe 4"
"fly";1;0,218;1;0,504
"flat";1;1;1;0
"dollar";0;1;1;1
"dick";1;1;1;0,332
"campaign";1;1;1;0
"biden";1;1;1;0
"arrest";1;1;0,174;0,887
"apple";0;1;1;1
"app";1;0,004;1;1
"amount";0;1;1;1
"actual";1;1;0;1
"york";1;0,039;1;1
"worth";0,093;1;0,327;1
"vast";0,335;1;1;0,637
"train";1;0,689;1;0,504
"ton";0;1;1;1
"test";1;0,179;1;0,887
"stupid";0,172;1;0,498;1
"square";0,335;1;1;0,637
"spend";0;1;1;1
"sit";0,027;1;1;0,183
"signal";0;1;1;1
"send";0;1;1;1
"sell";0,7;0,084;1;1
"remember";1;1;1;0
"podcast";1;1;0,327;0,04
"opinion";0,038;0,744;1;1
"nazis";1;0,018;1;1
"myth";1;1;0,633;0,637
"month";0;1;1;1
"message";0;1;1;1
"market";0;1;1;1
"liz";1;1;1;0
"legacy";1;1;0,174;0,177
"immediately";1;0,744;0,174;1
"huge";0,985;0,413;1;0,677
"hope";1;1;1;0,008
"govern";0,985;1;0,001;1
"future";1;0,962;1;0,025
"funny";1;0,112;1;1
"fully";0,527;0,179;1;1
"fire";1;0,112;1;0,677
"compromise";0,001;0,962;1;1
"complete";1;1;0;1
"click";0,335;0,385;1;1
"clear";1;0,218;0,498;1
"civilization";1;0,412;1;1
"cheney";1;1;1;0
"cell";0;1;1;1
"business";0,985;0,112;1;1
"border";1;0,004;1;1
"bizarre";0,011;1;1;1
"billion";0;1;1;1
"benefit";0,527;0,744;1;0,887
"attention";1;1;1;0,002
"american";1;0,008;1;1
"addict";0,852;0,039;1;1
"yo";1;1;0,174;0,887
"white";1;1;1;0
"wait";1;1;0,174;0,177
"unite";0,7;1;0,327;1
"trust";1;0,179;0,882;1
"thousand";0,527;1;0,174;1
"theory";1;1;0;1
"text";0;1;1;1
"technology";1;0,041;1;1
"street";1;0,039;1;1
"stick";1;1;0;1
"starlink";0,009;1;1;1
"small";1;1;0,633;0,062
"sentence";1;1;0,01;1
"rumor";0,852;1;0,008;1
"room";1;0,179;1;0,887
"regulator";0,038;0,744;1;1
"red";1;0,385;1;0,637
"pull";1;0,039;1;1
"productive";0,527;0,179;1;1
"nice";0,003;1;1;1
"narrative";1;1;0;1
"mind";1;0,179;1;0,887
"kamala";1;1;0;1
"joe";1;1;1;0
"iphone";0;1;1;1
"hollywood";1;1;0,498;0,504
"grow";0,172;0,218;1;1
"golf";1;0,018;1;1
"global";1;0,039;1;1
"germany";0,335;0,385;1;1
"generally";1;0,004;1;1
"force";1;1;0,174;0,177
"fight";1;1;0,095;0,098
"federal";0;1;1;1
"factory";1;0,004;1;1
"eat";1;0,008;1;1
"easy";1;1;1;0,01
"difficult";0,7;0,084;1;1
"diddy";1;0,084;1;1
"deploy";1;1;1;0
"depend";0,527;0,179;1;1
"death";1;1;1;0
"cure";1;0,041;1;1
"cu";0,172;1;0,498;1
"conspiracy";1;1;0;1
"compete";1;0,018;1;1
"citizen";0,527;0,744;1;0,887
"choose";1;0,004;1;1
"check";0,7;1;0,327;0,332
