"";"V1"
"639";3
"640";2
"641";0
"642";3
"643";2
"644";0
"645";2
"646";4
"647";4
"648";4
"649";0
"650";4
"651";2
"652";0
"653";3
"654";4
"655";0
"656";4
"657";4
"658";3
"659";4
"660";4
"661";4
"662";4
"663";3
"664";0
"665";0
"666";1
"667";4
"668";4
"669";4
"670";4
"671";4
"672";4
"673";0
"674";2
"675";4
"676";1
"677";2
"678";4
"679";1
"680";2
"681";4
"682";3
"683";4
"684";2
"685";2
"686";2
"687";3
"688";4
"689";4
"690";2
"691";4
"692";1
"693";4
"694";4
"695";3
"696";4
"697";4
"698";2
"699";3
"700";2
"701";2
"702";0
"703";2
"704";2
"705";2
"706";2
"707";0
"708";0
"709";0
"710";0
"711";0
"712";3
"713";4
"714";3
"715";2
"716";1
"717";1
"718";0
"719";1
"720";1
"721";1
"722";1
"723";1
"724";1
"725";2
"726";1
"727";1
"728";2
"729";3
"730";1
"731";1
"732";1
"733";2
"734";1
"735";2
"736";3
"737";2
"738";1
"739";2
"740";2
"741";2
"742";2
"743";2
"744";2
"745";3
"746";0
"747";1
"748";2
"749";2
"750";2
"751";1
"752";2
"753";1
"754";2
"755";2
"756";4
"757";2
"758";1
"759";1
"760";1
"761";2
"762";2
"763";2
"764";2
"765";1
"766";3
"767";1
"768";2
"769";2
"770";2
"771";1
"772";1
"773";1
"774";1
"775";1
"776";1
"777";2
"778";0
"779";2
"780";2
"781";2
"782";2
"783";2
"784";2
"785";2
"786";2
"787";2
"788";1
"789";2
"790";0
"791";2
"792";2
"793";2
"794";3
"795";1
"796";1
"797";2
"798";1
"799";2
"800";3
"801";1
"802";2
"803";4
"804";2
"805";2
"806";2
"807";2
"808";1
"809";2
"810";2
"811";2
"812";2
"813";2
"814";2
"815";2
"816";2
"817";2
"818";1
"819";2
"820";2
"821";2
"822";2
"823";2
"824";2
"825";2
"826";2
"827";2
"828";2
"829";1
"830";2
"831";2
"832";2
"833";4
"834";2
"835";2
"836";2
"837";2
"838";2
"839";0
"840";2
"841";1
"842";2
"843";1
"844";1
"845";4
"846";1
"847";4
"848";2
"849";2
"850";1
"851";1
"852";0
"853";1
"854";4
"855";2
"856";4
"857";2
"858";2
"859";2
"860";2
"861";4
"862";3
"863";4
"864";2
"865";3
"866";0
"867";0
"868";2
"869";2
"870";2
"871";2
"872";1
"873";2
