"";"X";"V1"
"456";456;4
"457";457;4
"458";458;4
"459";459;4
"460";460;3
"461";461;4
"462";462;4
"463";463;1
"464";464;3
"465";465;2
"466";466;2
"467";467;4
"468";468;2
"469";469;2
"470";470;4
"471";471;2
"472";472;2
"473";473;0
"474";474;3
"475";475;4
"476";476;2
"477";477;2
"478";478;2
"479";479;4
"480";480;2
"481";481;1
"482";482;1
"483";483;0
"484";484;2
"485";485;2
"486";486;3
"487";487;2
"488";488;3
"489";489;2
"490";490;3
"491";491;4
"492";492;4
"493";493;0
"494";494;2
"495";495;2
"496";496;2
"497";497;3
"498";498;4
"499";499;0
"500";500;0
"501";501;1
"502";502;4
"503";503;0
"504";504;2
"505";505;3
"506";506;3
"507";507;3
"508";508;2
"509";509;4
"510";510;4
"511";511;1
"512";512;2
"513";513;2
"514";514;2
"515";515;2
"516";516;2
"517";517;2
"518";518;2
"519";519;1
"520";520;1
"521";521;1
"522";522;1
"523";523;1
"524";524;2
"525";525;2
"526";526;1
"527";527;1
"528";528;1
"529";529;1
"530";530;1
"531";531;1
"532";532;1
"533";533;1
"534";534;0
"535";535;1
"536";536;2
"537";537;1
"538";538;2
"539";539;1
"540";540;1
"541";541;2
"542";542;2
"543";543;2
"544";544;1
"545";545;1
"546";546;2
"547";547;1
"548";548;2
"549";549;2
"550";550;0
"551";551;2
"552";552;1
"553";553;4
"554";554;2
"555";555;2
"556";556;2
"557";557;0
"558";558;2
"559";559;2
"560";560;2
"561";561;2
"562";562;1
"563";563;2
"564";564;3
"565";565;2
"566";566;4
"567";567;0
"568";568;2
"569";569;0
"570";570;0
"571";571;0
"572";572;1
"573";573;1
"574";574;2
"575";575;0
"576";576;0
"577";577;0
"578";578;3
"579";579;2
"580";580;2
"581";581;2
"582";582;2
"583";583;0
"584";584;2
"585";585;2
"586";586;2
"587";587;1
"588";588;2
"589";589;0
"590";590;1
"591";591;0
"592";592;2
"593";593;2
"594";594;3
"595";595;4
"596";596;0
"597";597;2
"598";598;2
"599";599;2
"600";600;4
"601";601;0
"602";602;2
"603";603;3
"604";604;2
"605";605;2
"606";606;0
"607";607;2
"608";608;2
"609";609;4
"610";610;2
"611";611;2
"612";612;4
"613";613;2
"614";614;4
"615";615;2
"616";616;4
"617";617;4
"618";618;4
"619";619;4
"620";620;2
"621";621;3
"622";622;3
"623";623;3
"624";624;0
"625";625;2
"626";626;3
"627";627;0
"628";628;4
"629";629;4
"630";630;0
"631";631;4
"632";632;4
"633";633;4
"634";634;4
"635";635;4
"636";636;4
"637";637;4
"638";638;2
"639";639;3
"640";640;2
"641";641;0
"642";642;3
"643";643;2
"644";644;0
"645";645;2
"646";646;4
"647";647;4
"648";648;4
"649";649;0
"650";650;4
"651";651;2
"652";652;0
"653";653;3
"654";654;4
"655";655;0
"656";656;4
"657";657;4
"658";658;3
"659";659;4
"660";660;4
"661";661;4
"662";662;4
"663";663;3
"664";664;0
"665";665;0
"666";666;1
"667";667;4
"668";668;4
"669";669;4
"670";670;4
"671";671;4
"672";672;4
"673";673;0
"674";674;2
"675";675;4
"676";676;1
"677";677;2
"678";678;4
"679";679;1
"680";680;2
"681";681;4
"682";682;3
"683";683;4
"684";684;2
"685";685;2
"686";686;2
"687";687;3
"688";688;4
"689";689;4
"690";690;2
"691";691;4
"692";692;1
"693";693;4
"694";694;4
"695";695;3
"696";696;4
"697";697;4
"698";698;2
"699";699;3
"700";700;2
"701";701;2
"702";702;0
"703";703;2
"704";704;2
"705";705;2
"706";706;2
"707";707;0
"708";708;0
"709";709;0
"710";710;0
"711";711;0
"712";712;3
"713";713;4
"714";714;3
"715";715;2
"716";716;1
"717";717;1
"718";718;0
"719";719;1
"720";720;1
"721";721;1
"722";722;1
"723";723;1
"724";724;1
"725";725;2
"726";726;1
"727";727;1
"728";728;2
"729";729;3
"730";730;1
"731";731;1
"732";732;1
"733";733;2
"734";734;1
"735";735;2
"736";736;3
"737";737;2
"738";738;1
"739";739;2
"740";740;2
"741";741;2
"742";742;2
"743";743;2
"744";744;2
"745";745;3
"746";746;0
