"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,382047373897547;38,2922584685164;38,2922584685164
"facteur 2";0,313333836959952;31,4051635780123;69,6974220465286
"facteur 3";0,302333181495889;30,3025779534714;100
